RollNumber,Attendance,StudyHours,PreviousExamScore,AssignmentsCompleted,ExtraActivities,FinalGrade
126,57,4,33,83,0,F
127,84,5,66,96,1,C
128,91,2,64,56,1,D
129,84,6,53,96,1,D
130,59,1,53,56,1,F
131,74,5,73,59,1,D
132,86,4,34,61,0,F
133,94,6,50,94,0,D
134,57,3,59,67,0,D
135,91,3,66,76,1,C
136,97,5,84,85,0,B
137,91,7,63,88,0,C
138,100,2,98,71,0,B
139,59,1,86,76,0,C
140,91,1,98,67,0,B
141,50,1,75,100,1,C
142,62,4,32,52,1,F
143,55,1,36,76,0,F
144,71,3,50,78,1,D
145,81,4,94,65,0,B
146,64,6,87,81,1,C
147,56,6,94,70,0,B
148,58,4,61,85,0,D
149,68,4,93,88,0,B
150,59,4,94,71,0,B
151,98,1,55,90,0,C
152,60,3,64,56,1,D
153,99,7,45,54,0,F
154,55,1,51,96,0,D
155,52,6,88,88,1,B
156,85,4,57,95,1,C
157,77,7,42,89,1,D
158,53,2,42,86,1,F
159,66,2,97,99,0,B
160,52,1,77,97,0,C
161,69,5,45,54,1,F
162,70,2,31,73,0,F
163,92,7,91,79,1,B
164,94,3,75,64,0,C
165,62,4,82,58,1,C
166,100,1,34,70,0,F
167,77,2,94,76,0,B
168,79,4,67,59,1,D
169,82,7,91,94,1,B
170,89,4,74,72,1,C
171,74,6,89,86,1,B
172,65,4,56,100,0,D
173,94,2,66,57,0,D
174,89,3,98,97,0,A
175,99,1,42,86,1,D
176,96,1,77,81,0,C
177,96,5,90,64,1,B
178,78,4,87,52,0,C
179,90,6,69,77,1,C
180,77,6,57,97,1,C
181,53,6,62,75,0,D
182,72,2,91,61,1,C
183,81,5,85,68,1,C
184,88,1,68,56,1,D
185,81,3,59,76,0,D
186,84,3,97,97,0,A
187,95,7,68,85,1,C
188,98,3,53,85,1,D
189,62,7,83,88,0,C
190,99,3,30,90,1,F
191,56,6,63,75,1,D
192,58,1,83,87,1,C
193,65,6,97,90,0,B
194,54,4,73,87,1,C
195,50,7,51,56,0,F
196,88,2,33,85,1,F
197,79,4,79,60,1,C
198,93,2,70,60,1,C
199,52,6,89,95,1,B
200,73,3,82,96,0,B
